,cod,lat,lon
Gran La Plata,2,-34.914336,-57.95052699999999
Bahia Blanca - Cerri,3,-38.7262967,-62.25472130000001
Gran Rosario,4,-32.9442426,-60.65053880000001
Gran Santa Fe,5,21.0077498,-89.6857343
Gran Parana,6,-31.7323556,-60.52962269999999
Posadas,7,-27.3621374,-55.90087459999999
Gran Resistencia,8,-27.4518622,-58.98555469999999
Cdro. Rivadavia - R.Tilly,9,-45.9245822,-67.55290459999999
Gran Mendoza,10,-32.8889426,-68.84181269999999
Corrientes,12,-27.4692131,-58.8306349
Gran Cordoba,13,-31.4158761,-64.1804301
Concordia,14,-31.3913921,-58.01743399999999
Formosa,15,-26.1857768,-58.1755669
Neuquen - Plottier,17,-38.9475672,-68.22885
S.del Estero - La Banda,18,-27.3618,-64.24248039999999
Jujuy - Palpala,19,-24.2584127,-65.2084907
Rio Gallegos,20,-51.6230485,-69.2168291
Gran Catamarca,22,-28.468715,-65.787278
Salta,23,-24.7821269,-65.4231976
La Rioja,25,-29.4134538,-66.8564579
San Luis - El Chorrillo,26,-33.2992363,-66.2585144
Gran San Juan,27,-31.5370894,-68.5239655
Gran Tucuman - T. Viejo,29,-26.8221127,-65.2192903
Santa Rosa - Toay,30,-36.620922,-64.2912369
Ushuaia - Rio Grande,31,-54.8019121,-68.3029511
Ciudad de Bs As,32,-34.6036844,-58.3815591
Partidos del GBA,33,-34.85314020000001,-58.47441850000001
Mar del Plata - Batan,34,-38.0061494,-57.709166
Rio Cuarto,36,-33.1231585,-64.3493441
San Nicolas - Villa Constitucion,38,-33.227158,-60.3298704
Rawson - Trelew,91,-43.2998581,-65.09948729999999
Viedma - Carmen de Patagones,93,-40.7986389,-62.9803611
